Time,BP,MBP,HR,Event
1756.5,102.8801,115.0781,425.7812,
1756.501,102.8801,115.1484,425.7188,
1756.502,102.7398,115.2656,425.625,
1756.503,102.5604,115.1172,425.6875,
1756.504,102.4512,115.1328,425.6875,
1756.505,102.1627,115.0391,425.75,
1756.506,102.1861,115.1094,425.7188,
1756.507,101.9989,115.2188,425.7188,
1756.508,101.804,115.0859,425.8438,
1756.509,101.7026,115.1016,425.7812,
1756.51,101.3829,115.0078,425.6562,
1756.511,101.3829,115.0625,425.6875,
1756.512,101.2191,115.1953,425.75,
1756.513,101.0007,115.0469,425.75,
1756.514,100.8682,115.0703,425.75,
1756.515,100.564,114.9688,425.8125,
1756.516,100.5484,115.0312,425.75,
1756.517,100.3457,115.1484,425.7812,
1756.518,100.1117,115.0234,425.75,
1756.519,99.97916,115.0234,425.6875,
1756.52,99.65164,114.9453,425.7812,
1756.521,99.61264,115,425.75,
1756.522,99.43328,115.1328,425.7812,
1756.523,99.21493,114.9844,425.75,
1756.524,99.11355,114.9922,425.75,
1756.525,98.84061,114.8984,425.6875,
1756.526,98.94199,114.9844,425.7812,
1756.527,98.93419,115.0859,425.75,
1756.528,99.04337,114.9297,425.75,
1756.529,99.3475,114.9609,425.9062,
1756.53,99.69063,114.8672,425.75,
1756.531,100.5016,114.9219,425.75,
1756.532,101.2737,115.0234,425.7188,
1756.533,102.2407,114.9062,425.75,
1756.534,103.3714,114.9141,425.8125,
1756.535,104.4164,114.8438,425.6875,
1756.536,105.8591,114.9062,425.75,
1756.537,107.1302,115.0078,425.75,
1756.538,108.4559,114.8828,425.75,
1756.539,109.8362,114.8828,425.7812,
1756.54,111.0137,114.8203,425.75,
1756.541,112.5266,114.8906,425.75,
1756.542,113.7509,115.0078,424.75,
1756.543,115.022,114.875,421.2188,
1756.544,116.2854,114.8906,421,
1756.545,117.3069,114.8203,421.125,
1756.546,118.6327,114.9062,421.8125,
1756.547,119.6386,114.9922,421.1562,
1756.548,120.629,114.8828,421.5938,
1756.549,121.5882,114.9062,420.9688,
1756.55,122.2667,114.8203,421.5625,
1756.551,123.1868,114.9219,421.125,
1756.552,123.7483,115.0156,421.5,
1756.553,124.2708,114.8984,421.0938,
1756.554,124.6997,114.9219,421.4375,
1756.555,124.8089,114.8516,421.1875,
1756.556,125.191,114.9375,421.2188,
1756.557,125.1754,115.0547,421.1875,
1756.558,125.0974,114.9297,421.125,
1756.559,124.9415,114.9531,421.1562,
1756.56,124.5437,114.8828,421.125,
1756.561,124.3644,114.9531,421.2812,
1756.562,123.9199,115.0781,421.125,
1756.563,123.4052,114.9688,421.5625,
1756.564,122.9061,114.9766,421.125,
1756.565,122.1887,114.8984,421.4688,
1756.566,121.7598,114.9844,421.1562,
1756.567,121.1125,115.0938,421.4688,
1756.568,120.4652,114.9766,421.0938,
1756.569,119.8648,115,421.4688,
1756.57,119.0772,114.9141,421.0938,
1756.571,118.6249,114.9922,421.4375,
1756.572,117.9932,115.0938,421.125,
1756.573,117.3537,114.9766,421.0625,
1756.574,116.8157,115.0078,421.1875,
1756.575,116.0982,114.9453,421.125,
1756.576,115.7473,115,421.2188,
1756.577,115.2092,115.1016,421.0625,
1756.578,114.7023,114.9766,421.625,
1756.579,114.289,115.0078,421.125,
1756.58,113.6963,114.9141,421.5625,
1756.581,113.4546,115.0078,422.4375,
1756.582,113.0257,115.1094,422.375,
1756.583,112.628,114.9766,422.375,
1756.584,112.3238,114.9844,422.5,
1756.585,111.8403,114.9141,422.5,
1756.586,111.6844,114.9844,422.5,
1756.587,111.3647,115.1094,422.4062,
1756.588,111.0527,114.9531,422.5625,
1756.589,110.8188,114.9766,422.4062,
1756.59,110.4289,114.8984,422.5625,
1756.591,110.3821,114.9688,422.375,
1756.592,110.1325,115.0859,422.625,
1756.593,109.9064,114.9688,422.625,
1756.594,109.7738,114.9844,422.5938,
1756.595,109.4463,114.8828,422.625,
1756.596,109.4697,114.9609,422.625,
1756.597,109.3215,115.0703,422.5625,
1756.598,109.1577,114.9531,422.5625,
1756.599,109.0876,114.9609,422.5938,
1756.6,108.8224,114.8594,422.5312,
1756.601,108.8848,114.9453,422.5312,
1756.602,108.7444,115.0703,422.4062,
1756.603,108.5885,114.9297,422.5,
1756.604,108.5183,114.9453,422.5,
1756.605,108.2609,114.8672,422.5938,
1756.606,108.3077,114.9375,422.5938,
1756.607,108.1752,115.0391,422.5,
1756.608,108.0114,114.9141,422.5938,
1756.609,107.91,114.9297,422.5,
1756.61,107.6371,114.8359,422.5312,
1756.611,107.6605,114.9219,422.5625,
1756.612,107.4967,115.0234,422.5938,
1756.613,107.3017,114.8984,422.5625,
1756.614,107.2082,114.8906,422.5312,
1756.615,106.904,114.8125,422.5625,
1756.616,106.9274,114.8984,422.5938,
1756.617,106.7637,115,422.4688,
1756.618,106.5531,114.9062,422.5312,
1756.619,106.4361,114.8828,422.5938,
1756.62,106.1476,114.8047,422.5938,
1756.621,106.1398,114.8906,422.4688,
1756.622,105.9526,114.9844,422.625,
1756.623,105.7343,114.8594,422.4688,
1756.624,105.6095,114.8672,422.5938,
1756.625,105.321,114.7812,422.5312,
1756.626,105.3288,114.8672,422.5312,
1756.627,105.126,114.9609,422.5625,
1756.628,104.8999,114.8281,422.625,
1756.629,104.7829,114.8281,422.5,
1756.63,104.471,114.7578,422.6875,
1756.631,104.4866,114.8203,422.5,
1756.632,104.2838,114.9297,422.625,
1756.633,104.0655,114.8125,422.5625,
1756.634,103.9485,114.8203,422.5625,
1756.635,103.6444,114.7344,422.5,
1756.636,103.6677,114.7969,422.5625,
1756.637,103.4806,114.9141,422.5625,
1756.638,103.27,114.7812,422.5938,
1756.639,103.1765,114.7812,422.625,
1756.64,102.8645,114.7031,422.5312,
1756.641,102.8723,114.7734,422.5938,
1756.642,102.7086,114.8828,422.4062,
1756.643,102.498,114.7578,422.5625,
1756.644,102.42,114.7812,422.5625,
1756.645,102.1237,114.6719,422.5,
1756.646,102.1471,114.7344,422.6875,
1756.647,101.9755,114.8438,422.625,
1756.648,101.7806,114.7344,422.5312,
1756.649,101.6948,114.7266,422.625,
1756.65,101.4218,114.6328,422.5938,
1756.651,101.4374,114.6953,422.5938,
1756.652,101.2815,114.8203,422.625,
1756.653,101.0865,114.6953,422.5312,
1756.654,100.9773,114.6797,422.5312,
1756.655,100.7278,114.6016,422.5938,
1756.656,100.7512,114.6953,422.5938,
1756.657,100.5796,114.7891,422.5,
1756.658,100.3769,114.6562,422.625,
1756.659,100.2833,114.6562,422.5625,
1756.66,100.0026,114.5703,422.5938,
1756.661,100.0338,114.6406,422.5625,
1756.662,99.86219,114.7578,422.6562,
1756.663,99.63604,114.6094,422.5938,
1756.664,99.55026,114.6328,422.5938,
1756.665,99.26172,114.5234,422.5625,
1756.666,99.26172,114.6016,422.5,
1756.667,99.10576,114.7109,422.5625,
1756.668,98.85621,114.5781,422.625,
1756.669,98.77043,114.5781,422.5938,
1756.67,98.4663,114.4922,422.625,
1756.671,98.4663,114.5703,422.5938,
