Time,BP,MBP,HR,Event
359.641,76.17881,81.50781,422.5625,
359.642,77.76186,81.60938,422.6562,
359.643,79.3917,81.65625,422.5938,
359.644,80.92016,81.42969,422.5312,
359.645,82.45643,81.42969,422.625,
359.646,84.18764,81.50781,421.5938,
359.647,85.69271,81.59375,414.8125,
359.648,87.17439,81.65625,415.2812,
359.649,88.50789,81.44531,414.7188,
359.65,89.79461,81.44531,415.0625,
359.651,91.26068,81.51562,414.8438,
359.652,92.39144,81.625,415.0938,
359.653,93.49879,81.69531,414.875,
359.654,94.46578,81.48438,415,
359.655,95.2612,81.46875,414.625,
359.656,96.23599,81.54688,414.6875,
359.657,96.92224,81.65625,414.75,
359.658,97.49151,81.72656,414.625,
359.659,97.93601,81.52344,415.3438,
359.66,98.22455,81.50781,414.6875,
359.661,98.66125,81.59375,415.1875,
359.662,98.80942,81.69531,414.7812,
359.663,98.8874,81.77344,415.1562,
359.664,98.79382,81.57031,414.6875,
359.665,98.63006,81.5625,414.8125,
359.666,98.60667,81.64062,414.8125,
359.667,98.34932,81.74219,414.8438,
359.668,98.06079,81.80469,414.6875,
359.669,97.65528,81.59375,414.625,
359.67,97.17958,81.59375,415.1875,
359.671,96.92224,81.66406,414.6875,
359.672,96.44654,81.78906,415.0938,
359.673,95.94745,81.84375,414.7188,
359.674,95.38598,81.63281,415.0938,
359.675,94.77771,81.63281,414.7188,
359.676,94.3878,81.70312,414.875,
359.677,93.78733,81.8125,414.75,
359.678,93.19466,81.88281,414.6875,
359.679,92.50841,81.66406,414.75,
359.68,91.82996,81.65625,414.8125,
359.681,91.35426,81.74219,415.1875,
359.682,90.69141,81.85156,414.75,
359.683,90.05195,81.90625,415.125,
359.684,89.33451,81.6875,416.0625,
359.685,88.62487,81.6875,416.2188,
359.686,88.14917,81.75781,416.1562,
359.687,87.5487,81.86719,416.0938,
359.688,86.94824,81.91406,416.0312,
359.689,86.30098,81.71094,416.0938,
359.69,85.66932,81.69531,416.0312,
359.691,85.2794,81.76562,416.0938,
359.692,84.75692,81.86719,416.0312,
359.693,84.28122,81.91406,415.9688,
359.694,83.74314,81.71875,416.0938,
359.695,83.24405,81.69531,416.1875,
359.696,82.97891,81.77344,416.1875,
359.697,82.5656,81.85938,416.125,
359.698,82.19128,81.90625,416.0625,
359.699,81.76238,81.71094,416.1562,
359.7,81.36467,81.69531,416.125,
359.701,81.18531,81.75781,416.125,
359.702,80.85778,81.86719,416.125,
359.703,80.54585,81.92188,416.0625,
359.704,80.19492,81.70312,416.0625,
359.705,79.8284,81.69531,416.1875,
359.706,79.72703,81.75781,416.125,
359.707,79.46968,81.85938,416.0938,
359.708,79.20454,81.92188,416.125,
359.709,78.90041,81.71094,416.25,
359.71,78.58848,81.67969,416.1875,
