Time,BP,MBP,HR,Event
1302,92.37584,117.8047,431.1875,
1302.001,92.5474,117.7734,431.1875,
1302.002,93.15567,117.8594,431.1875,
1302.003,94.02128,117.9062,431.1875,
1302.004,94.8323,117.8281,431.1562,
1302.005,96.11901,117.7578,431.2188,
1302.006,97.37454,117.7188,431.125,
1302.007,99.07456,117.8203,431.1875,
1302.008,100.876,117.8594,431.125,
1302.009,102.4746,117.7812,431.125,
1302.01,104.393,117.7109,431.1875,
1302.011,106.1008,117.6875,431.1875,
1302.012,108.0972,117.7812,431.2188,
1302.013,110.1091,117.8438,429.7812,
1302.014,111.7624,117.7422,429.7188,
1302.015,113.6885,117.6953,432.2812,
1302.016,115.295,117.6875,431.875,
1302.017,117.151,117.7656,432,
1302.018,118.9134,117.8281,431.9688,
1302.019,120.2547,117.7578,431.875,
1302.02,121.7988,117.6953,431.8125,
1302.021,122.9919,117.6719,431.9375,
1302.022,124.3176,117.7812,431.9688,
1302.023,125.5575,117.8438,432,
1302.024,126.3296,117.7812,432.3125,
1302.025,127.2498,117.7188,431.8125,
1302.026,127.8112,117.6953,432.2812,
1302.027,128.4975,117.8047,431.875,
1302.028,129.0668,117.8828,432.2188,
1302.029,129.1759,117.8125,431.9375,
1302.03,129.4099,117.7578,432.1875,
1302.031,129.3085,117.7188,431.875,
1302.032,129.3553,117.8359,432.0625,
1302.033,129.2851,117.8828,431.9062,
1302.034,128.8094,117.8203,431.9062,
1302.035,128.5131,117.7656,431.9688,
1302.036,127.9126,117.7656,431.9688,
1302.037,127.5071,117.8672,432.4375,
1302.038,127.0626,117.9297,431.9375,
1302.039,126.2672,117.8594,432.25,
1302.04,125.6979,117.8047,431.8125,
1302.041,124.9025,117.7891,432.25,
1302.042,124.3566,117.8828,431.9375,
1302.043,123.8341,117.9453,432.25,
1302.044,122.9607,117.8672,431.8438,
1302.045,122.3836,117.8125,432.0625,
1302.046,121.6116,117.7969,431.8438,
1302.047,121.0813,117.9062,431.9375,
1302.048,120.5822,117.9531,431.9062,
1302.049,119.7868,117.875,431.7812,
1302.05,119.2721,117.7969,432.0312,
1302.051,118.5703,117.7969,431.9688,
1302.052,118.1414,117.9219,433.3125,
1302.053,117.7281,117.9453,433.1875,
1302.054,117.0184,117.8906,433.2188,
1302.055,116.6051,117.8203,433.2188,
1302.056,115.989,117.8047,433.25,
1302.057,115.6381,117.8984,433.3125,
1302.058,115.3106,117.9531,433.25,
1302.059,114.7023,117.8828,433.1562,
1302.06,114.3904,117.8125,433.0938,
1302.061,113.8913,117.7812,433.1875,
1302.062,113.6418,117.8984,433.2812,
1302.063,113.4546,117.9297,433.3438,
1302.064,112.9789,117.8516,433.2812,
1302.065,112.7839,117.7969,433.3438,
1302.066,112.4408,117.7812,433.2812,
1302.067,112.316,117.8906,433.2812,
1302.068,112.2225,117.9219,433.375,
1302.069,111.8481,117.8594,433.25,
1302.07,111.739,117.7812,433.25,
1302.071,111.4504,117.7656,433.3125,
1302.072,111.4114,117.8594,433.2188,
1302.073,111.3802,117.9141,433.2188,
1302.074,111.0371,117.8359,433.2188,
1302.075,110.9669,117.7578,433.1875,
1302.076,110.694,117.7344,433.3125,
1302.077,110.655,117.8438,433.25,
1302.078,110.6082,117.8984,433.2812,
1302.079,110.2573,117.8203,433.25,
1302.08,110.1715,117.7578,433.2812,
1302.081,109.883,117.7344,433.2188,
1302.082,109.805,117.8281,433.2812,
1302.083,109.766,117.8828,433.375,
1302.084,109.3995,117.8125,433.2812,
1302.085,109.2825,117.7422,433.3125,
1302.086,108.9784,117.7109,433.375,
1302.087,108.9082,117.8125,433.3125,
1302.088,108.8458,117.8516,433.3125,
1302.089,108.4871,117.7734,433.3125,
1302.09,108.3623,117.7188,433.25,
1302.091,108.0426,117.6875,433.25,
1302.092,107.9646,117.7734,433.25,
1302.093,107.8866,117.8438,433.3125,
1302.094,107.5045,117.7578,433.2188,
1302.095,107.3875,117.6875,433.375,
1302.096,107.0522,117.6562,433.2188,
1302.097,106.9898,117.7578,433.2188,
1302.098,106.8884,117.8203,433.1875,
1302.099,106.5297,117.7188,433.2812,
1302.1,106.3894,117.6719,433.2812,
1302.101,106.0696,117.6328,433.1562,
1302.102,105.9604,117.7422,433.3125,
1302.103,105.8981,117.7812,433.2812,
1302.104,105.5315,117.7031,433.4062,
1302.105,105.3834,117.6406,433.3438,
1302.106,105.0636,117.5938,433.3125,
1302.107,104.9623,117.6953,433.2812,
1302.108,104.8687,117.7656,433.375,
1302.109,104.4632,117.6719,433.25,
1302.11,104.2838,117.6094,433.25,
1302.111,103.9329,117.5547,433.3438,
1302.112,103.7925,117.6641,433.2812,
1302.113,103.6288,117.7188,433.4062,
1302.114,103.2232,117.6328,433.2812,
1302.115,103.0205,117.5703,433.3125,
1302.116,102.6618,117.5312,433.3438,
1302.117,102.5214,117.6172,433.3125,
1302.118,102.3576,117.6797,433.375,
1302.119,101.9677,117.6016,433.3438,
1302.12,101.7806,117.5234,433.3125,
1302.121,101.4062,117.5,433.25,
1302.122,101.2581,117.5938,433.2812,
1302.123,101.1177,117.6562,433.375,
1302.124,100.7122,117.5703,433.25,
1302.125,100.5406,117.4922,433.3125,
1302.126,100.1897,117.4453,433.3125,
1302.127,100.0338,117.5469,433.3125,
1302.128,99.93237,117.5938,433.2812,
1302.129,99.51906,117.5156,433.2812,
1302.13,99.3475,117.4453,433.25,
1302.131,99.01218,117.4141,433.2188,
1302.132,98.87961,117.5156,433.3125,
1302.133,98.74703,117.5547,433.3438,
1302.134,98.33373,117.4766,433.2812,
1302.135,98.15437,117.3984,433.2812,
1302.136,97.81904,117.3672,433.25,
1302.137,97.66307,117.4609,433.3125,
1302.138,97.5383,117.5156,433.2812,
1302.139,97.13279,117.4297,433.25,
1302.14,96.92224,117.3438,433.2812,
1302.141,96.57131,117.3281,433.375,
1302.142,96.44654,117.4141,433.3438,
1302.143,96.30617,117.4609,433.3125,
1302.144,95.91626,117.3906,433.1875,
1302.145,95.7291,117.2969,433.3125,
1302.146,95.44056,117.2578,433.25,
1302.147,95.39377,117.3438,433.3438,
1302.148,95.45616,117.3984,433.25,
1302.149,95.35478,117.3281,433.25,
1302.15,95.67451,117.2422,433.2812,
1302.151,96.04883,117.2031,433.375,
1302.152,96.89104,117.2891,433.3125,
1302.153,97.9984,117.3594,433.2812,
1302.154,99.04337,117.2812,433.25,
1302.155,100.5406,117.1953,433.2812,
1302.156,102.0457,117.1719,433.3125,
1302.157,103.8783,117.2734,433.3125,
1302.158,105.8825,117.3203,433.3125,
1302.159,107.5981,117.2344,433.3125,
1302.16,109.649,117.1719,433.2812,
1302.161,111.4816,117.1328,433.3438,
1302.162,113.5638,117.25,433.25,
1302.163,115.6771,117.2969,432.2812,
1302.164,117.4161,117.2344,429.7812,
1302.165,119.4281,117.1719,430.1875,
1302.166,121.1125,117.1562,429.75,
1302.167,122.9919,117.2422,430.125,
1302.168,124.8245,117.2969,429.6875,
1302.169,126.2282,117.2578,429.7812,
1302.17,127.8268,117.1953,429.75,
1302.171,129.0668,117.1562,429.8125,
1302.172,130.4704,117.2891,429.75,
1302.173,131.7806,117.3594,429.6875,
1302.174,132.6228,117.2969,430.2812,
1302.175,133.6989,117.2266,429.7812,
1302.176,134.393,117.2031,430.2188,
1302.177,135.2196,117.3203,429.75,
1302.178,136.0072,117.375,430,
1302.179,136.3347,117.3359,429.7812,
1302.18,136.865,117.2891,430.125,
1302.181,137.0678,117.2578,429.75,
1302.182,137.3875,117.3672,429.9375,
1302.183,137.6527,117.4219,429.8125,
1302.184,137.5279,117.3906,429.8125,
1302.185,137.5825,117.3359,429.7812,
1302.186,137.3329,117.3203,429.8125,
1302.187,137.216,117.4297,429.9375,
1302.188,137.0678,117.4766,429.75,
1302.189,136.5375,117.4219,430.1875,
1302.19,136.249,117.3672,429.6875,
1302.191,135.6641,117.3516,430.1875,
1302.192,135.2742,117.4688,429.75,
1302.193,134.8843,117.5312,430.0312,
1302.194,134.1356,117.4844,429.75,
1302.195,133.6833,117.4141,430.125,
1302.196,132.9893,117.4062,429.75,
1302.197,132.5136,117.5078,429.7188,
1302.198,132.0613,117.5703,429.75,
1302.199,131.3049,117.5078,429.7812,
1302.2,130.798,117.4609,429.75,
1302.201,130.1195,117.4219,431.0625,
1302.202,129.6438,117.5391,431.0938,
1302.203,129.2149,117.5938,431.0938,
1302.204,128.4897,117.5469,431.125,
1302.205,128.0452,117.4766,431.1562,
1302.206,127.3823,117.4531,431.0938,
1302.207,126.93,117.5625,431.125,
1302.208,126.5713,117.6328,431.0938,
1302.209,125.8929,117.5703,431.1562,
1302.21,125.4795,117.5078,431.1562,
1302.211,124.9025,117.4688,431.0938,
1302.212,124.5671,117.5703,431.1562,
1302.213,124.2942,117.6484,431.125,
1302.214,123.7249,117.5859,431.1875,
1302.215,123.4364,117.5234,431.1562,
1302.216,122.9685,117.4922,431.0938,
1302.217,122.7423,117.5938,431.0625,
1302.218,122.5942,117.6484,431.2188,
1302.219,122.1341,117.6016,431.1875,
1302.22,121.9469,117.5391,431.1875,
1302.221,121.5804,117.5078,431.1875,
1302.222,121.4478,117.6328,431.125,
1302.223,121.3387,117.6797,431.1562,
1302.224,120.9331,117.6016,431.1562,
1302.225,120.7928,117.5391,431.125,
1302.226,120.4886,117.5156,431.1875,
1302.227,120.3639,117.6094,431.1875,
1302.228,120.2703,117.6641,431.125,
1302.229,119.9038,117.6094,431.0625,
1302.23,119.7712,117.5391,431.125,
1302.231,119.4437,117.5156,431.1875,
1302.232,119.3423,117.6172,431.0938,
1302.233,119.2409,117.6797,431.1562,
1302.234,118.8744,117.625,431.1562,
1302.235,118.7496,117.5703,431.2188,
1302.236,118.4299,117.5234,431.1562,
1302.237,118.2895,117.6172,431.2188,
1302.238,118.2037,117.6797,431.125,
1302.239,117.8216,117.6328,431.125,
1302.24,117.6969,117.5547,431.0938,
1302.241,117.3615,117.5234,431.0625,
1302.242,117.2212,117.625,431.125,
1302.243,117.1354,117.6875,431.1875,
1302.244,116.7611,117.6328,431.0938,
1302.245,116.6129,117.5547,431.0938,
1302.246,116.301,117.5391,431.1562,
1302.247,116.184,117.6328,431.1875,
1302.248,116.0982,117.6875,431.2188,
1302.249,115.7239,117.625,431.1562,
1302.25,115.5757,117.5703,431.125,
1302.251,115.2638,117.5156,431.2188,
1302.252,115.1312,117.6172,431.125,
1302.253,115.061,117.6719,431.1875,
1302.254,114.6633,117.6016,431.125,
1302.255,114.5152,117.5312,431.2188,
1302.256,114.172,117.5156,431.2812,
1302.257,114.0629,117.6094,431.1875,
1302.258,113.9615,117.6562,431.0938,
1302.259,113.5482,117.6016,431.125,
1302.26,113.4078,117.5391,431.2812,
1302.261,113.0725,117.4844,431.125,
1302.262,112.9399,117.6016,431.0938,
1302.263,112.8385,117.6641,431.125,
1302.264,112.4486,117.5859,431.0938,
1302.265,112.2771,117.5156,431.2188,
1302.266,111.9651,117.4844,431.1875,
1302.267,111.8248,117.6016,431.1875,
1302.268,111.7312,117.6406,431.1562,
1302.269,111.3335,117.5703,431.125,
1302.27,111.1697,117.5078,431.125,
1302.271,110.8578,117.4688,431.1875,
1302.272,110.7096,117.5859,431.1562,
1302.273,110.6082,117.6328,431.125,
1302.274,110.2183,117.5547,431.1562,
1302.275,110.0311,117.4922,431.1875,
1302.276,109.7036,117.4531,431.0625,
1302.277,109.5477,117.5625,431.0938,
1302.278,109.4385,117.5938,431.1875,
1302.279,109.0174,117.5312,431.0625,
1302.28,108.8536,117.4766,431.0938,
1302.281,108.5261,117.4453,431.1875,
1302.282,108.3545,117.5234,431.0625,
1302.283,108.2375,117.5859,431.0938,
1302.284,107.8164,117.5078,431.125,
1302.285,107.6215,117.4609,431.0938,
1302.286,107.2628,117.4062,431.0938,
1302.287,107.1146,117.5078,431.0312,
1302.288,106.9664,117.5625,431.0625,
