Time,BP,MBP,HR,Event
2105.6,103.582,120.7969,402.25,
2105.601,103.3168,120.6094,402.2188,
2105.602,102.9815,120.5859,402.2188,
2105.603,102.8489,120.6328,402.1875,
2105.604,102.8411,120.75,402.25,
2105.605,102.5838,120.7422,402.2188,
2105.606,102.2953,120.5703,402.1875,
2105.607,101.9755,120.5312,402.125,
2105.608,101.8118,120.6016,402.2812,
2105.609,101.8274,120.6953,402.2188,
2105.61,101.5856,120.7188,402.25,
2105.611,101.3985,120.5234,402.2188,
2105.612,101.1489,120.5078,402.25,
2105.613,101.2269,120.5391,402.1875,
2105.614,101.5934,120.6562,402.2188,
2105.615,101.8352,120.6641,402.2812,
2105.616,102.2641,120.4609,402.125,
2105.617,102.7476,120.4453,402.3125,
2105.618,103.7067,120.4844,402.1875,
2105.619,104.9311,120.6094,402.2188,
2105.62,105.9994,120.625,402.2812,
2105.621,107.2472,120.4531,402.2812,
2105.622,108.4169,120.4141,402.2188,
2105.623,109.922,120.4688,402.2812,
2105.624,111.583,120.5859,402.2188,
2105.625,112.9555,120.5781,402.1875,
2105.626,114.3982,120.3984,402.1875,
2105.627,115.6927,120.375,402.2188,
2105.628,117.229,120.4453,402.3125,
2105.629,118.851,120.5781,400.9062,
2105.63,120.1377,120.5859,401.1562,
2105.631,121.44,120.4141,400.875,
2105.632,122.5318,120.3828,401.2188,
2105.633,123.8185,120.4609,400.75,
2105.634,125.1988,120.5859,401.25,
2105.635,126.1658,120.6094,400.7188,
2105.636,127.1406,120.4219,401.1562,
2105.637,127.858,120.3984,400.8125,
2105.638,128.7392,120.4609,401.0938,
2105.639,129.6984,120.5859,400.8125,
2105.64,130.2365,120.6172,400.875,
2105.641,130.6888,120.4453,400.75,
2105.642,130.9149,120.4297,400.8125,
2105.643,131.2737,120.5,400.7812,
2105.644,131.6636,120.6172,400.6875,
2105.645,131.6246,120.6406,400.7188,
2105.646,131.531,120.4609,400.8438,
2105.647,131.2035,120.4531,401.25,
2105.648,131.0319,120.5234,400.7812,
2105.649,130.8993,120.6406,401.1875,
2105.65,130.4237,120.6484,400.8438,
2105.651,129.909,120.4922,401.25,
2105.652,129.2071,120.4922,400.7812,
2105.653,128.7236,120.5469,401.2188,
2105.654,128.3493,120.6719,400.75,
2105.655,127.6553,120.6953,401.0312,
2105.656,126.9768,120.5078,400.75,
2105.657,126.1658,120.4922,400.9062,
2105.658,125.5965,120.5547,400.8125,
2105.659,125.1754,120.6875,400.7812,
2105.66,124.458,120.6875,400.8125,
2105.661,123.7873,120.5078,400.8125,
2105.662,123.0231,120.5156,400.9062,
2105.663,122.4694,120.5703,400.7188,
2105.664,122.1419,120.6797,401.1562,
2105.665,121.5102,120.7031,400.8438,
2105.666,120.9097,120.5234,401.2812,
2105.667,120.2391,120.5078,402.1562,
2105.668,119.7868,120.5625,402.0938,
2105.669,119.5295,120.6641,402.25,
2105.67,118.9914,120.7109,402.1562,
2105.671,118.4767,120.5234,402.1562,
2105.672,117.8762,120.5078,402.0938,
2105.673,117.5019,120.5703,402.0312,
2105.674,117.3303,120.6719,402.25,
2105.675,116.8312,120.6797,402.1875,
2105.676,116.3945,120.5234,402.125,
2105.677,115.8721,120.4922,402.1562,
2105.678,115.5601,120.5469,402.125,
2105.679,115.4588,120.6719,402.3438,
2105.68,115.061,120.6797,402.25,
2105.681,114.6867,120.5078,402.25,
2105.682,114.2734,120.4766,402.0938,
2105.683,114.0629,120.5312,402.1562,
2105.684,114.0707,120.6484,402.25,
2105.685,113.7665,120.6562,402.2188,
2105.686,113.517,120.4844,402.1562,
2105.687,113.1739,120.4609,402.1562,
2105.688,113.0647,120.5234,402.2812,
2105.689,113.1271,120.6328,402.2188,
2105.69,112.9009,120.6484,402.2188,
2105.691,112.6904,120.4688,402.125,
2105.692,112.3706,120.4297,402.125,
2105.693,112.2849,120.5,402.125,
2105.694,112.3862,120.6328,402.25,
2105.695,112.1289,120.6172,402.2188,
2105.696,111.9183,120.4531,402.1875,
2105.697,111.5986,120.4219,402.1875,
2105.698,111.5128,120.4922,402.1875,
2105.699,111.5674,120.5859,402.1875,
